year,country,old_label,new_label,new_code
2006,1,Britain,United Kingdom,7
2006,2,China,China,12
2006,3,Egypt,Egypt,15
2006,4,France,France,18
2006,5,Germany,Germany,19
2006,6,India,India,23
2006,7,Indonesia,Indonesia,24
2006,8,Japan,Japan,28
2006,9,Jordan,Jordan,29
2006,10,Nigeria,Nigeria,41
2006,11,Pakistan,Pakistan,42
2006,12,Russia,Russia,47
2006,13,Spain,Spain,53
2006,14,Turkey,Turkey,59
2006,15,US,United States,62
2007,1,Argentina,Argentina,1
2007,2,Bangladesh,Bangladesh,3
2007,3,Bolivia,Bolivia,5
2007,4,Brazil,Brazil,6
2007,15,Great Britain,United Kingdom,7
2007,5,Bulgaria,Bulgaria,8
2007,6,Canada,Canada,10
2007,7,Chile,Chile,11
2007,8,China,China,12
2007,9,Czech Republic,Czech Republic,14
2007,10,Egypt,Egypt,15
2007,11,Ethiopia,Ethiopia,17
2007,12,France,France,18
2007,13,Germany,Germany,19
2007,14,Ghana,Ghana,20
2007,16,India,India,23
2007,17,Indonesia,Indonesia,24
2007,18,Israel,Israel,25
2007,19,Italy,Italy,26
2007,20,Ivory Coast,Ivory Coast,27
2007,21,Japan,Japan,28
2007,22,Jordan,Jordan,29
2007,23,Kenya,Kenya,30
2007,24,Kuwait,Kuwait,31
2007,25,Lebanon,Lebanon,32
2007,26,Malaysia,Malaysia,34
2007,27,Mali,Mali,35
2007,28,Mexico,Mexico,36
2007,29,Morocco,Morocco,37
2007,30,Nigeria,Nigeria,41
2007,31,Pakistan,Pakistan,42
2007,32,Palestinian Territories,Palestinian Territories,43
2007,33,Peru,Peru,44
2007,34,Poland,Poland,46
2007,35,Russia,Russia,47
2007,36,Senegal,Senegal,48
2007,37,Slovakia,Slovakia,50
2007,38,South Africa,South Africa,51
2007,39,South Korea,South Korea,52
2007,40,Spain,Spain,53
2007,41,Sweden,Sweden,54
2007,42,Tanzania,Tanzania,56
2007,43,Turkey,Turkey,59
2007,45,Uganda,Uganda,60
2007,46,Ukraine,Ukraine,61
2007,44,United States,United States,62
2007,47,Venezuela,Venezuela,63
2008,1,Argentina,Argentina,1
2008,2,Australia,Australia,2
2008,3,Brazil,Brazil,6
2008,8,Great Britain,United Kingdom,7
2008,4,China,China,12
2008,5,Egypt,Egypt,15
2008,6,France,France,18
2008,7,Germany,Germany,19
2008,9,India,India,23
2008,10,Indonesia,Indonesia,24
2008,11,Japan,Japan,28
2008,12,Jordan,Jordan,29
2008,13,Lebanon,Lebanon,32
2008,14,Mexico,Mexico,36
2008,15,Nigeria,Nigeria,41
2008,16,Pakistan,Pakistan,42
2008,17,Poland,Poland,46
2008,18,Russia,Russia,47
2008,19,South Africa,South Africa,51
2008,20,South Korea,South Korea,52
2008,21,Spain,Spain,53
2008,22,Tanzania,Tanzania,56
2008,23,Turkey,Turkey,59
2008,24,United States,United States,62
2009,1,Argentina,Argentina,1
2009,2,Brazil,Brazil,6
2009,8,Great Britain,United Kingdom,7
2009,3,Canada,Canada,10
2009,4,China,China,12
2009,5,Egypt,Egypt,15
2009,6,France,France,18
2009,7,Germany,Germany,19
2009,9,India,India,23
2009,10,Indonesia,Indonesia,24
2009,11,Israel,Israel,25
2009,12,Japan,Japan,28
2009,13,Jordan,Jordan,29
2009,14,Kenya,Kenya,30
2009,15,Lebanon,Lebanon,32
2009,16,Mexico,Mexico,36
2009,17,Nigeria,Nigeria,41
2009,18,Pakistan,Pakistan,42
2009,19,Palestinian Territories,Palestinian Territories,43
2009,20,Poland,Poland,46
2009,21,Russia,Russia,47
2009,22,South Korea,South Korea,52
2009,23,Spain,Spain,53
2009,24,Turkey,Turkey,59
2009,25,United States,United States,62
2010,1,Argentina,Argentina,1
2010,2,Brazil,Brazil,6
2010,3,Britain,United Kingdom,7
2010,4,China,China,12
2010,5,Egypt,Egypt,15
2010,6,France,France,18
2010,7,Germany,Germany,19
2010,8,India,India,23
2010,9,Indonesia,Indonesia,24
2010,10,Japan,Japan,28
2010,11,Jordan,Jordan,29
2010,12,Kenya,Kenya,30
2010,13,Lebanon,Lebanon,32
2010,14,Mexico,Mexico,36
2010,15,Nigeria,Nigeria,41
2010,16,Pakistan,Pakistan,42
2010,17,Poland,Poland,46
2010,18,Russia,Russia,47
2010,19,South Korea,South Korea,52
2010,20,Spain,Spain,53
2010,21,Turkey,Turkey,59
2010,22,US,United States,62
2011,1,Brazil,Brazil,6
2011,2,Britain,United Kingdom,7
2011,3,China,China,12
2011,4,Egypt,Egypt,15
2011,5,France,France,18
2011,6,Germany,Germany,19
2011,7,India,India,23
2011,8,Indonesia,Indonesia,24
2011,9,Israel,Israel,25
2011,10,Japan,Japan,28
2011,11,Jordan,Jordan,29
2011,12,Kenya,Kenya,30
2011,13,Lebanon,Lebanon,32
2011,14,Lithuania,Lithuania,33
2011,15,Mexico,Mexico,36
2011,16,Pakistan,Pakistan,42
2011,24,Pakistan refield,Pakistan,42
2011,17,Palestinian Territories,Palestinian Territories,43
2011,18,Poland,Poland,46
2011,19,Russia,Russia,47
2011,20,Spain,Spain,53
2011,21,Turkey,Turkey,59
2011,22,Ukraine,Ukraine,61
2011,23,US,United States,62
2012,1,Brazil,Brazil,6
2012,2,Britain,United Kingdom,7
2012,3,China,China,12
2012,4,Czech Republic,Czech Republic,14
2012,5,Egypt,Egypt,15
2012,6,France,France,18
2012,7,Germany,Germany,19
2012,8,Greece,Greece,21
2012,9,India,India,23
2012,10,Italy,Italy,26
2012,11,Japan,Japan,28
2012,12,Jordan,Jordan,29
2012,13,Lebanon,Lebanon,32
2012,14,Mexico,Mexico,36
2012,15,Pakistan,Pakistan,42
2012,16,Poland,Poland,46
2012,17,Russia,Russia,47
2012,18,Spain,Spain,53
2012,19,Tunisia,Tunisia,58
2012,20,Turkey,Turkey,59
2012,21,United States,United States,62
2013,1,Argentina,Argentina,1
2013,2,Australia,Australia,2
2013,3,Bolivia,Bolivia,5
2013,4,Brazil,Brazil,6
2013,5,Britain,United Kingdom,7
2013,6,Canada,Canada,10
2013,7,Chile,Chile,11
2013,8,China,China,12
2013,9,Czech Republic,Czech Republic,14
2013,10,Egypt,Egypt,15
2013,11,El Salvador,El Salvador,16
2013,12,France,France,18
2013,13,Germany,Germany,19
2013,14,Ghana,Ghana,20
2013,15,Greece,Greece,21
2013,17,Indonesia,Indonesia,24
2013,18,Israel,Israel,25
2013,19,Italy,Italy,26
2013,20,Japan,Japan,28
2013,21,Jordan,Jordan,29
2013,22,Kenya,Kenya,30
2013,23,Lebanon,Lebanon,32
2013,24,Malaysia,Malaysia,34
2013,25,Mexico,Mexico,36
2013,26,Nigeria,Nigeria,41
2013,27,Pakistan,Pakistan,42
2013,28,Palestinian territories,Palestinian Territories,43
2013,29,Philippines,Philippines,45
2013,30,Poland,Poland,46
2013,31,Russia,Russia,47
2013,32,Senegal,Senegal,48
2013,33,South Africa,South Africa,51
2013,34,South Korea,South Korea,52
2013,35,Spain,Spain,53
2013,36,Tunisia,Tunisia,58
2013,37,Turkey,Turkey,59
2013,38,Uganda,Uganda,60
2013,39,United States,United States,62
2013,40,Venezuela,Venezuela,63
2014,1,Argentina,Argentina,1
2014,2,Bangladesh,Bangladesh,3
2014,3,Brazil,Brazil,6
2014,42,United Kingdom,United Kingdom,7
2014,4,Chile,Chile,11
2014,5,China,China,12
2014,6,Colombia,Colombia,13
2014,7,Egypt,Egypt,15
2014,8,El Salvador,El Salvador,16
2014,9,France,France,18
2014,10,Germany,Germany,19
2014,11,Ghana,Ghana,20
2014,12,Greece,Greece,21
2014,13,India,India,23
2014,14,Indonesia,Indonesia,24
2014,15,Israel,Israel,25
2014,16,Italy,Italy,26
